PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
4916066;ABC Schule (Alemán);;;;BUS: 7, 16, 19, 29, 51, 52 METRO: Cruz del Rayo, Príncipe de Vergara;EDUCACIÓN: Infantil Primer y segundo ciclo  IDIOMA: Alemán;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d167e229b31f9110VgnVCM2000000c205a0aRCRD;LEIZARAN;CALLE;V;27;;;;;MADRID;MADRID;28002;1;EL VISO;5;CHAMARTIN;442219;4477699;40.44793197;-3.681382498;915 613 086;;;; 
167390;Academia Darío Estudio;;;;METRO: Santo Domingo, Plaza España BUS: 1 , 2 , 44 , 46 , 74 , 75 , 133 , 148 , 202;ENSEÑANZA: BACHILLERATO (Humanidades  y C. Sociales - Ciencias y Tecnología);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bfb1ff632081c010VgnVCM1000000b205a0aRCRD;GRAN VIA;CALLE;V;63;;;;;MADRID;MADRID;28013;1;PALACIO;1;CENTRO;439895;4475101;40.42249058;-3.709817618;915 411 515 - 915 474 084;915 474 084;info@darioestudio.es;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
6845;AFI Escuela de Finanzas;;;Másteres y cursos de especialización.;"Metro: Rubén Darío (línea 5), Núñez Balboa (líneas 5 y 9).  Bus: 19, 51, 9, 1, 74.  Bicimad: Estaciones 103 (calle José Ortega y Gasset, 6), 142 (paseo de la Castellana, 42), 88 (calle Velázquez, 75).  Aparcamientos: Serrano II (39), calle Serrano entre Ortega y Gasset y Hermosilla; Velázquez Juán Bravo (58), calle Velázquez y calle Juán Bravo.";;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ceba4ea6871c010VgnVCM1000000b205a0aRCRD;MARQUES DE VILLAMEJOR;CALLE;V;5;;;;;MADRID;MADRID;28006;6;CASTELLANA;4;SALAMANCA;441680;4475850;40.4312473;-3.687558939;915 200 410 (atención al cliente);;;/contenido/entidadesYorganismos/CentrosEnseñanzaEspecializada; 
6803;Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC);;;;Metro: República Argentina (línea 6)  Bus: 16, 19, 51  Bicimad: Estación 250 (calle Serrano, 113B)  Parking: Serrano I (62), calle Serrano entre Hermanos Becquer y Marqués de Villamejor;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec7f42be9971c010VgnVCM1000000b205a0aRCRD;SERRANO;CALLE;V;115;;;;BIS;MADRID;MADRID;28006;1;EL VISO;5;CHAMARTIN;441674;4476951;40.44116452;-3.687752173;915 681 400;;;/contenido/entidadesYorganismos/AdministracionCentral; 
6651;Alliance Française de Madrid;;;Cursos y talleres de francés.;"Metro: Santo Domingo (línea 2), Opera (líneas 2, 5 y Ramal), Callao (líneas 3 y 5).  Bus: 44, 133, 75, 146, 147, 001, 1, 2, 3, 46, 74, 148.  Bicimad: Estación 23 (Plaza Santo Domingo, 1).  Aparcamientos: Isabel la Católica (98), calle Isabel la Católica; Descalzas (20), plaza Descalzas y plaza San Martín, El Corte Inglés Callao (92), plaza de Callao.";;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e0ae3b54d771c010VgnVCM1000000b205a0aRCRD;SANTO DOMINGO;CUESTA;V;13;;;;;MADRID;MADRID;28013;1;PALACIO;1;CENTRO;439864;4474632;40.4201511;-3.708854745;914 351 532;;info@afmadrid.net;/contenido/entidadesYorganismos/CentrosEnseñanzaIdiomas; 
5373;Altair, Colegio Internacional;;;Comedor - Transporte - Horario ampliado;METRO: Plaza de Castilla BUS: 5 , 27 , 47 , 49 , 66 , 67 , 70 , 80 , 124 , 129 , 134 , 135 , 147 , 149 , 150 , 229;ENSEÑANZA: Educación infantil - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d277b503a71c010VgnVCM1000000b205a0aRCRD;JOAQUIN BAU;CALLE;NUM;4;;;;;MADRID;MADRID;28036;5;NUEVA ESPAÑA;5;CHAMARTIN;441854;4479461;40.4637884;-3.685847945;913 451 168 - 913 596 368;913 507 016;secretaria@colegioaltair.com;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
213;Área de Gobierno de Hacienda y Personal;"Titular del Área:  Engracia Hidalgo Tena   Competencias: presupuestos y política financiera; ingresos; contratación y servicios; estudios económicos; sector público; función pública y recursos humanos; relaciones laborales; retribuciones; formación del personal; acción social del personal; inspección general de servicios e Intervención General..  Empresas y organismos adscritos   Organismo Autónomo Agencia Tributaria Madrid   Organigrama";;;Metro: Banco de España (línea 2)  Bus: 001, 1, 2, 74, 146, 150, 5, 51, 52, 53, 9, 002, 3, 46, 15, 20  Bicimad: Estación 20a (calle Alcalá, 49)  Aparcamiento: Plaza del Rey (54), Plaza del Rey;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2805ff632081c010VgnVCM1000000b205a0aRCRD;ALCALA;CALLE;V;45;;;;;MADRID;MADRID;28014;4;JUSTICIA;1;CENTRO;440930;4474508;40.41910994;-3.696280132;10;;ag.haciendaypersonal@madrid.es;/contenido/entidadesYorganismos/AyuntamientoMadrid/AreasGobierno; 
4531065;Asociación de Madres y Padres de Alumnos Colegio de Educación Infantil y Primaria Gonzalo Fernandez de Cordoba;;;;Bus (servicio diurno): 39, 65. Bus (servicio nocturno): N19.;Entidad inscrita en el Censo Municipal de Entidades y Colectivos Ciudadanos.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b07f653975c01110VgnVCM2000000c205a0aRCRD;ADANERO;CALLE;V;3;PTAL. B;;;;MADRID;MADRID;28024;5;CAMPAMENTO;10;LATINA;433834;4471795;40.39413509;-3.779640023;630990208;;ampacolegfc@gmail.com;/contenido/entidadesYorganismos/AsociacionesMadresPadresAlumnos; 
11576332;Aula de estudio de Manoteras. Sala de estudio (Hortaleza);;De lunes a domingo, de 9 a 14 y de 15 a 21 horas.;Aforo: 60 plazas Acceso a ordenadores Wifi;Metro: Manoteras (línea 4)  Bus: 129, 29, 7;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=27ada5bf3137e710VgnVCM1000001d4a900aRCRD;CUEVAS DEL ALMANZORA;CALLE;V;187;;;;;MADRID;MADRID;28033;5;APOSTOL SANTIAGO;16;HORTALEZA;444197;4480995;40.47777516;-3.658339791;626 470 381;;;/contenido/entidadesYorganismos/SalasEstudioLectura; 
94985;Aula de Naturaleza Palacio Valdés;;De 9 a 14 horas de lunes a viernes según el Calendario Escolar.;Centro donde se desarrollan actividades escolares complementarias de Ciencias Naturales dentro del Programa 'Madrid un Libro Abierto' dirigido exclusivamente a los centros escolares de Primaria y Secundaria del término municipal de Madrid. Situado en el término municipal de Tres Cantos.;;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2668ad452e81c010VgnVCM1000000b205a0aRCRD;COLMENAR VIEJO km 22,600;CARRETERA;V;;;;;;MADRID;MADRID;;;;;DISTRITO;439661;4490699;;;608 803 173;;;; 
10127337;Aula Municipal de Formación de Personas Adultas. Distrito Centro.;;De lunes a jueves:    Mañanas de 08:30 a 13:00 horas. Tardes de 14:00 a 16:00 horas.   Viernes de 10 a 14:00 horas;;Metro: Embajadores. Lavapiés, Acacias    Bus: 34, 36, 41, 60, 119, 148, C1    Cercanías: Embajadores;Programas Formativos:   Español para extranjeros.;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=01d5046411ae6510VgnVCM2000001f4a900aRCRD;CASINO;CALLE;V;5;;;;;MADRID;MADRID;28005;2;EMBAJADORES;1;CENTRO;440152;4473128;40.4066171;-3.705325668;91 539 63 10;;;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
5422896;Aula Municipal de Formación de Personas Adultas. Distrito Chamberí;;De lunes a jueves:  mañanas de 10,15 a 12,15 horas tardes de 15,15 a 17,15 horas y de 18 a 20 horas;;Bus: 3, 7, 21, 37, 40 Metro: Alonso Martínez;Programas Formativos:   LectoescrituraMatemáticas para la vidaEspañol para inmigrantes;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8060c2f841e3210VgnVCM2000000c205a0aRCRD;ALMAGRO;CALLE;V;5;;;;I.F.E. DEL GOBIERNO LOCAL DE MADRID;MADRID;MADRID;28010;4;ALMAGRO;7;CHAMBERI;441045;4475554;40.42852633;-3.695038705;917 001 548 - 917 001 552;;;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
