E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
4.3.20.B Evolución del precio de la vivienda de segunda mano (€/m2)  por Distrito y Barrio
;;2017;2018;2019;2020;2021;2022
Ciudad de Madrid;Ciudad de Madrid;3.285;3.844;3.732;3.682;3.700;3.939
01. Centro;01. Centro;4.599;4.975;5.096;4.865;4.842;5.205
01. Centro;011. Palacio;4.474;4.873;4.852;4.703;4.714;5.029
01. Centro;012. Embajadores;4.017;4.239;4.479;4.180;4.231;4.333
01. Centro;013. Cortes;4.842;5.106;5.272;5.206;5.041;6.033
01. Centro;014. Justicia;5.252;5.989;5.893;5.641;5.773;5.873
01. Centro;015. Universidad;4.639;5.068;5.282;5.019;5.144;5.473
01. Centro;016. Sol;5.027;5.263;5.110;5.071;4.769;6.045
02. Arganzuela;02. Arganzuela;3.529;3.919;3.983;3.888;4.059;4.331
02. Arganzuela;021. Imperial;3.382;3.896;3.922;3.895;4.359;4.346
02. Arganzuela;022. Acacias;3.724;4.046;4.188;4.015;4.081;4.533
02. Arganzuela;023. Chopera;3.340;3.727;3.625;3.598;3.738;3.950
02. Arganzuela;024. Legazpi;Sin Datos;4.263;4.394;4.242;4.539;4.895
02. Arganzuela;025. Delicias;3.566;3.777;3.904;3.864;3.949;4.229
02. Arganzuela;026. Palos de la Frontera;3.565;3.948;3.943;3.784;3.931;4.316
02. Arganzuela;027. Atocha;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;..
03. Retiro;03. Retiro;4.353;4.791;4.572;4.502;4.733;5.017
03. Retiro;031. Pacífico;3.555;4.059;4.149;4.039;4.194;4.429
03. Retiro;032. Adelfas;3.621;4.074;4.213;4.041;4.079;4.355
03. Retiro;033. Estrella;3.662;4.024;4.155;3.989;4.250;4.423
03. Retiro;034. Ibiza;4.884;5.226;5.433;5.227;5.358;6.055
03. Retiro;035. Los Jerónimos;6.106;6.315;6.741;7.012;7.016;7.576
03. Retiro;036. Niño Jesús;3.983;4.463;4.792;4.673;4.965;5.055
04. Salamanca;04. Salamanca;5.479;6.043;5.872;5.740;6.088;6.633
04. Salamanca;041. Recoletos;7.054;7.931;8.441;8.429;8.335;9.000
04. Salamanca;042. Goya;5.385;5.652;5.875;5.556;5.805;6.842
04. Salamanca;043. Fuente del Berro;3.793;4.275;4.474;4.524;4.527;4.986
04. Salamanca;044. Guindalera;3.640;4.267;4.280;4.092;4.182;4.503
04. Salamanca;045. Lista;4.835;5.498;5.713;5.810;5.922;6.679
04. Salamanca;046. Castellana;6.448;6.922;7.118;6.935;6.919;7.957
05. Chamartín;05. Chamartín;4.564;5.016;5.070;4.999;5.110;5.590
05. Chamartín;051. El Viso;5.241;5.813;6.263;6.025;6.485;6.993
